NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Harpreet Brar,Capped All-Rounder,All-rounder,India,1.5 Cr,
Jacob Bethell,Capped All-Rounder,All-rounder,England,1.5 Cr,
James Neesham,Capped All-Rounder,All-rounder,New Zealand,1.5 Cr,
Jason Holder,Capped All-Rounder,All-rounder,West Indies,1.5 Cr,
Jayant Yadav,Capped All-Rounder,All-rounder,India,1.5 Cr,
Krishnappa Gowtham,Capped All-Rounder,All-rounder,India,1.5 Cr,
Krunal Pandya,Capped All-Rounder,All-rounder,India,1.5 Cr,
Kyle Mayers,Capped All-Rounder,All-rounder,West Indies,1.5 Cr,
Matthew Short,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Mehidy Hasan Miraz,Capped All-Rounder,All-rounder,Bangladesh,1.5 Cr,
Michael Bracewell,Capped All-Rounder,All-rounder,New Zealand,1.5 Cr,
Mitchell Santner,Capped All-Rounder,All-rounder,New Zealand,1.5 Cr,
Moeen Ali,Capped All-Rounder,All-rounder,England,1.5 Cr,
Mohammad Nabi,Capped All-Rounder,All-rounder,Afghanistan,1.5 Cr,
Nitish Kumar Reddy,Capped All-Rounder,All-rounder,India,1.5 Cr,
Nitish Reddy,Capped All-Rounder,All-rounder,India,1.5 Cr,
Rahul Tewatia,Capped All-Rounder,All-rounder,India,1.5 Cr,
Rishi Dhawan,Capped All-Rounder,All-rounder,India,1.5 Cr,
Riyan Parag,Capped All-Rounder,All-rounder,India,1.5 Cr,
Romario Shepherd,Capped All-Rounder,All-rounder,West Indies,1.5 Cr,
Sean Abbott,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Shahbaz Ahmed,Capped All-Rounder,All-rounder,India,1.5 Cr,
Shakib Al Hasan,Capped All-Rounder,All-rounder,Bangladesh,1.5 Cr,
Shardul Thakur,Capped All-Rounder,Bowler,India,1.5 Cr,
Shivam Dube,Capped All-Rounder,All-rounder,India,1.5 Cr,
Sikandar Raza,Capped All-Rounder,All-rounder,Zimbabwe,1.5 Cr,
Tim David,Capped All-Rounder,All-rounder,Australia,1.5 Cr,
Tom Curran,Capped All-Rounder,All-rounder,England,1.5 Cr,
Venkatesh Iyer,Capped All-Rounder,All-rounder,India,1.5 Cr,
Vijay Shankar,Capped All-Rounder,All-rounder,India,1.5 Cr,
Washington Sundar,Capped All-Rounder,All-rounder,India,1.5 Cr,
Will Jacks,Capped All-Rounder,All-rounder,England,1.5 Cr,
AM Ghazanfar,Uncapped Bowler,Bowler,India,50 L,
Aaqib Khan,Uncapped Bowler,Batsman,India,50 L,
Aaradhya Shukla,Uncapped Bowler,Batsman,India,50 L,
Aarya Desai,Uncapped Batsman,Batsman,India,50 L,
Abdul Basith,Uncapped All-Rounder,Batsman,India,50 L,
Abdul Samad,Uncapped All-Rounder,Batsman,India,50 L,
Abhijeet Tomar,Uncapped Batsman,Batsman,India,50 L,
Abhilash Shetty,Uncapped Bowler,Batsman,India,50 L,
Abhinandan Singh,Uncapped Bowler,Batsman,India,50 L,
Abhinav Manohar,Uncapped Batsman,Batsman,India,50 L,
Agni Chopra,Uncapped Batsman,Batsman,India,50 L,
Ajay Mandal,Uncapped All-Rounder,All-rounder,India,50 L,
Akash Madhwal,Uncapped Bowler,Bowler,India,50 L,
Akash Singh,Uncapped Bowler,Bowler,India,50 L,
Akhil Chaudhary,Uncapped Bowler,Batsman,India,50 L,
Akhil Rawat,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Akshat Raghuwanshi,Uncapped Batsman,Batsman,India,50 L,
Ali Khan,Uncapped Bowler,Batsman,USA,50 L,
Aman Khan,Uncapped All-Rounder,Batsman,India,50 L,
Amandeep Khare,Uncapped Batsman,Batsman,India,50 L,
Angkrish Raghuvanshi,Uncapped Batsman,Batsman,India,50 L,
Aniket Verma,Uncapped All-Rounder,Batsman,India,50 L,
Anirudh Chowdhary,Uncapped Bowler,Batsman,India,50 L,
Ankit Rajpoot,Uncapped Bowler,Batsman,India,50 L,
Anmol Malhotra,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Anshul Kamboj,Uncapped All-Rounder,Batsman,India,50 L,
Anuj Rawat,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Apoorv Wankhade,Uncapped Batsman,Batsman,India,50 L,
Aravelly Avanish,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Arjun Tendulkar,Uncapped All-Rounder,Batsman,India,50 L,
Arpit Guleria,Uncapped Bowler,Batsman,India,50 L,
Arshad Khan,Uncapped All-Rounder,All-rounder,India,50 L,
Arshin Kulkarni,Uncapped All-Rounder,Batsman,India,50 L,
Aryaman Singh,Uncapped Bowler,Batsman,India,50 L,
Aryan Juyal,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Ashish Dahariya,Uncapped Batsman,Batsman,India,50 L,
Ashutosh Sharma,Uncapped All-Rounder,Batsman,India,50 L,
Ashwani Kumar,Uncapped Bowler,Batsman,India,50 L,
Ashwin Hebbar,Uncapped Batsman,Batsman,India,50 L,
Atharva Kale,Uncapped Batsman,Batsman,India,50 L,
Atharva Taide,Uncapped Batsman,Batsman,India,50 L,
Avneesh Sudha,Uncapped Batsman,Batsman,India,50 L,
Ayush Badoni,Uncapped All-Rounder,Batsman,India,50 L,
Ayush Mhatre,Uncapped Batsman,Batsman,India,50 L,
Ayush Pandey,Uncapped All-Rounder,Batsman,India,50 L,
BR Sharath,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Bailapudi Yeswanth,Uncapped All-Rounder,Batsman,India,50 L,
Baltej Singh,Uncapped Bowler,Batsman,India,50 L,
Ben Dwarshuis,Uncapped Bowler,Bowler,India,50 L,
Ben Sears,Uncapped Bowler,Batsman,New Zealand,50 L,
Bevon Jacobs,Uncapped Batsman,Batsman,India,50 L,
Bhagmender Lather,Uncapped All-Rounder,Batsman,India,50 L,
Bipin Saurabh,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Blessing Muzarabani,Uncapped Bowler,Bowler,Zimbabwe,50 L,
Brydon Carse,Uncapped All-Rounder,All-rounder,England,50 L,
C Andre Siddarth,Uncapped All-Rounder,Batsman,India,50 L,
Chintal Gandhi,Uncapped Bowler,Batsman,India,50 L,
Cooper Connolly,Uncapped All-Rounder,All-rounder,India,50 L,
Dan Mousley,Uncapped All-Rounder,All-rounder,India,50 L,
Daniel Worrall,Uncapped Bowler,Batsman,India,50 L,
Darshan Nalkande,Uncapped All-Rounder,All-rounder,India,50 L,
Deepak Devadiga,Uncapped Bowler,Batsman,India,50 L,
Digvesh Singh,Uncapped All-Rounder,Bowler,India,50 L,
Dinesh Bana,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Divesh Sharma,Uncapped Bowler,Batsman,India,50 L,
Donovan Ferreira,Uncapped Wicket-Keeper,Batsman,South Africa,50 L,
Dunith Wellalage,Uncapped All-Rounder,All-rounder,Sri Lanka,50 L,
Dushan Hemantha,Uncapped Bowler,All-rounder,India,50 L,
Emanjot Singh Chahal,Uncapped Bowler,All-rounder,India,50 L,
Gudakesh Motie,Uncapped Bowler,All-rounder,West Indies,50 L,
Gurjapneet Singh,Uncapped Bowler,Bowler,India,50 L,
Gurnoor Brar,Uncapped Bowler,Batsman,India,50 L,
Guruswamy Ajitesh,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Hardik Raj,Uncapped All-Rounder,Batsman,India,50 L,
Harnoor Singh,Uncapped Batsman,Batsman,India,50 L,
Harsh Dubey,Uncapped All-Rounder,Batsman,India,50 L,
Harsh Tyagi,Uncapped Bowler,Batsman,India,50 L,
Harvik Desai,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Himanshu Chauhan,Uncapped Bowler,Batsman,India,50 L,
Himanshu Sharma,Uncapped Bowler,Batsman,India,50 L,
Himanshu Singh,Uncapped Bowler,Batsman,India,50 L,
Himmat Singh,Uncapped Batsman,Batsman,India,50 L,
Hrithik Shokeen,Uncapped All-Rounder,All-rounder,India,50 L,
Jagadeesha Suchith,Uncapped All-Rounder,Batsman,India,50 L,
Jamie Overton,Uncapped All-Rounder,All-rounder,England,50 L,
Jasinder Singh,Uncapped Bowler,Batsman,India,50 L,
Jasmer Dhankhar,Uncapped Bowler,Batsman,India,50 L,
Jhathavedh Subramanyan,Uncapped Bowler,Batsman,India,50 L,
John Turner,Uncapped Bowler,Batsman,India,50 L,
Joshua Brown,Uncapped Batsman,Batsman,India,50 L,
KC Cariappa,Uncapped Bowler,Batsman,India,50 L,
KM Asif,Uncapped Bowler,Batsman,India,50 L,
Kamindu Mendis,Uncapped All-Rounder,All-rounder,Sri Lanka,50 L,
Kamlesh Nagarkoti,Uncapped All-Rounder,Batsman,India,50 L,
Karim Janat,Uncapped All-Rounder,All-rounder,Afghanistan,50 L,
Karteek Sharma,Uncapped Batsman,Batsman,India,50 L,
Kartik Tyagi,Uncapped Bowler,Bowler,India,50 L,
Kiran Chormale,Uncapped Batsman,Batsman,India,50 L,
Krish Bhagat,Uncapped Batsman,Batsman,India,50 L,
Krishnan Shrijith,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Kuldip Yadav,Uncapped Bowler,Batsman,India,50 L,
Kulwant Khejroliya,Uncapped Bowler,Batsman,India,50 L,
Kumar Kartikeya,Uncapped Bowler,Bowler,India,50 L,
Kumar Kushagra,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Kunal Singh Chibb,Uncapped Bowler,Batsman,India,50 L,
Kunal Singh Rathore,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Kwena Maphaka,Uncapped Bowler,Batsman,India,50 L,
LR Chethan,Uncapped Batsman,Batsman,India,50 L,
Lalit Yadav,Uncapped All-Rounder,Batsman,India,50 L,
Leus du Plooy,Uncapped Batsman,Batsman,South Africa,50 L,
Luvnith Sisodia,Uncapped Wicket-Keeper,Batsman,India,50 L,
M Ajnas,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Madhav Kaushik,Uncapped Batsman,Batsman,India,50 L,
Mahesh Pithiya,Uncapped Bowler,Batsman,India,50 L,
