NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Nicholas Pooran,Marquee Tier 2,Batsman,West Indies,2 Cr,pooran.avif
Phil Salt,Marquee Tier 2,Wicket-Keeper,England,2 Cr,phil_salt.avif
Rishabh Pant,Marquee Tier 2,Wicket-Keeper,India,2 Cr,pant.avif
Shreyas Iyer,Marquee Tier 2,Batsman,India,2 Cr,shreyas_iyer.avif
Shubman Gill,Marquee Tier 2,Batsman,India,2 Cr,shubman_gill.avif
Suryakumar Yadav,Marquee Tier 2,Batsman,India,2 Cr,sky.avif
Trent Boult,Marquee Tier 2,Bowler,New Zealand,2 Cr,trent_boult.avif
Yashasvi Jaiswal,Marquee Tier 2,Batsman,India,2 Cr,jaiswal.avif
Yuzvendra Chahal,Marquee Tier 2,Bowler,India,2 Cr,yuzi.avif
Abhishek Sharma,Capped Batsman,Batsman,India,1.5 Cr,abhisek_sharma.avif
Abishek Porel,Capped Batsman,Wicket-Keeper,India,1.5 Cr,abhisek_porel.avif
Ajinkya Rahane,Capped Batsman,Batsman,India,1.5 Cr,rahane.avif
Devdutt Padikkal,Capped Batsman,Batsman,India,1.5 Cr,devdutt_padikkal.avif
Dewald Brevis,Capped Batsman,Batsman,South Africa,1.5 Cr,dewald_brevis.avif
Dhruv Jurel,Capped Batsman,Wicket-Keeper,India,1.5 Cr,dhurv_jurel.avif
Glenn Phillips,Capped Batsman,Batsman,New Zealand,1.5 Cr, glenn_phillips.avif
Jitesh Sharma,Capped Batsman,Wicket-Keeper,India,1.5 Cr,jitesh_sharma.avif
Karun Nair,Capped Batsman,Batsman,India,1.5 Cr,karun_nair.avif
Shahrukh Khan,Capped Batsman,Batsman,India,1.5 Cr,shahrukh_khan.avif
Manish Pandey,Capped Batsman,Batsman,India,1.5 Cr,manish_pandey.avif
Marco Jansen,Capped Batsman,Bowler,South Africa,1.5 Cr,marco_jansen.avif
Matthew Breetzke,Capped Batsman,Batsman,South Africa,1.5 Cr, matthew_breetzke.avif
Prabhsimran Singh,Capped Batsman,Batsman,India,1.5 Cr, prabhsimran_singh.avif
Prithvi Shaw,Capped Batsman,Batsman,India,1.5 Cr, prithivi_shaw.avif
Rajat Patidar,Capped Batsman,Batsman,India,1.5 Cr, rajat_patidar.avif
Rinku Singh,Capped Batsman,Batsman,India,1.5 Cr,rinku_singh.avif
Rovman Powell,Capped Batsman,Batsman,West Indies,1.5 Cr,rovman_powell.avif
Ruturaj Gaikwad,Capped Batsman,Batsman,India,1.5 Cr, Ruturaj_Gaikwad.avif
Ryan Rickelton,Capped Batsman,Wicket-Keeper,South Africa,1.5 Cr, ryan_rickelton.avif
Sai Sudharsan,Capped Batsman,Batsman,India,1.5 Cr, sai_sudharsan.avif
